Date,Open,High,Low,Close,Adj Close,,,,,
12/1/2003,0.58011,0.57897007,0.581940072,0.581869979,0.581869979,1.723811,1.727205,1.71839,1.718597,1.718597
12/2/2003,0.581730182,0.577329872,0.582310117,0.57793012,0.57793012,1.71901,1.732112,1.717298,1.730313,1.730313
12/3/2003,0.577870006,0.577429883,0.579639916,0.578669881,0.578669881,1.730493,1.731812,1.725209,1.728101,1.728101
12/4/2003,0.57890002,0.578370003,0.581969875,0.581159844,0.581159844,1.727414,1.728997,1.718302,1.720697,1.720697
12/5/2003,0.581189905,0.577000084,0.581459918,0.577000084,0.577000084,1.720608,1.733102,1.719809,1.733102,1.733102
12/8/2003,0.578200121,0.575969847,0.578869861,0.576630104,0.576630104,1.729505,1.736202,1.727504,1.734214,1.734214
12/9/2003,0.576800063,0.572150134,0.576830008,0.572929975,0.572929975,1.733703,1.747793,1.733613,1.745414,1.745414
12/10/2003,0.572970025,0.572080089,0.57607005,0.574780032,0.574780032,1.745292,1.748007,1.7359,1.739796,1.739796
12/11/2003,0.574710001,0.572179925,0.57541008,0.57267012,0.57267012,1.740008,1.747702,1.737891,1.746206,1.746206
12/12/2003,0.57263995,0.57106994,0.573300151,0.572309929,0.572309929,1.746298,1.751099,1.744287,1.747305,1.747305
12/15/2003,0.574909897,0.571890005,0.575079835,0.572309929,0.572309929,1.739403,1.748588,1.738889,1.747305,1.747305
12/16/2003,0.572340064,0.569440087,0.573389893,0.570060101,0.570060101,1.747213,1.756111,1.744014,1.754201,1.754201
12/17/2003,0.570060101,0.56526013,0.571299947,0.566409856,0.566409856,1.754201,1.769097,1.750394,1.765506,1.765506
12/18/2003,0.566440015,0.563439959,0.566959955,0.564649869,0.564649869,1.765412,1.774812,1.763793,1.771009,1.771009
12/19/2003,0.564589936,0.564080059,0.567340156,0.56650997,0.56650997,1.771197,1.772798,1.762611,1.765194,1.765194
12/22/2003,0.567279972,0.56587011,0.567990122,0.566799921,0.566799921,1.762798,1.76719,1.760594,1.764291,1.764291
12/23/2003,0.566959955,0.545140049,0.567210149,0.566830122,0.566830122,1.763793,1.834391,1.763015,1.764197,1.764197
12/24/2003,0.566959955,0.562870052,0.567049974,0.563189908,0.563189908,1.763793,1.776609,1.763513,1.7756,1.7756
12/25/2003,0.563379964,0.562969869,0.564239834,0.563249862,0.563249862,1.775001,1.776294,1.772296,1.775411,1.775411
12/26/2003,0.563289838,0.562969869,0.564910154,0.564329946,0.564329946,1.775285,1.776294,1.770193,1.772013,1.772013
